Department,Sub_Department,Topic,question_name,question_url,question_answer
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,When will I hear back about my application for admission in Architectural Science program at Toronto Metropolitan University (TMU)?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"Admission offers are sent out on a rolling basis, starting in March. Keep checking your applicant portal for important messages."
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,I can’t attend the in-person open house. How do I find out more details about the program and facilities within the department for  Architectural Science program at Toronto Metropolitan University (TMU)? ,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"Our virtual open house is available for viewing at any time. In addition, you can find an overview of our facilities on our Studios & Facilities web page."
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,Is there a specific admissions officer I can direct questions to for  Architectural Science program at Toronto Metropolitan University (TMU)? ,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"For all questions relating to the admissions process, including offer letters, wait lists, transfers, portfolio receipts and payments, you may contact:

TANOLI, Pallavi
Department: Registrar’s Office: Admissions (Undergraduate)
Title: Admissions/Liaison Officer
Extension: 553279
Email: ptanoli@torontomu.ca"
Faculty of Engineering & Architectural Science,Engineering,Engineering,How do I apply to an engineering program at Toronto Metropolitan University?,,Visit Applying to Toronto Metropolitan University for steps on how to apply.
Faculty of Engineering & Architectural Science,Engineering,Engineering,When is the application deadline for engineering program at Toronto Metropolitan University?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"Guaranteed consideration date for applications to all programs: February 1
Complete applications and amendments received by this date will receive equal consideration, so we recommend submitting your application and supporting documents as early as possible"
Faculty of Engineering & Architectural Science,Engineering,Engineering,Can I apply to more than one engineering program?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"Yes, you can apply for up to three engineering programs at TMU.
"
Faculty of Engineering & Architectural Science,Engineering,Engineering,When can I expect a decision on my application to an engineering program?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,Decisions will be released starting in December and continue on a rolling basis through the end of May.
Faculty of Engineering & Architectural Science,Engineering,Engineering,What are the Ontario grade 12 admission requirements for engineering program at Toronto Metropolitan University?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"An Ontario Secondary School Diploma (OSSD) with six grade 12 U/M courses is required, including competitive grades in the required subjects:

Grade 12 U English 
Advanced Functions (MHF4U)
Physics (SPH4U)
Chemistry (SCH4U)
Calculus and Vectors (MCV4U)
The OSSD with a minimum overall average of 70% in six Grade 12 U/M courses, or equivalent, establishes eligibility for admission. We encourage you to apply if you have an average of 80% or higher, and grades of at least 70-75% in each required course. 

The overall average is calculated using marks in the best six Grade 12 U or M courses, which may include repeated or upgraded course marks.

The number of applications we receive greatly exceeds the number of spaces available in each program. To be competitive, you should aim for averages/grades above the minimum."
Faculty of Engineering & Architectural Science,Engineering,Engineering,Is an interview or portfolio required for the admission process for engineering program at Toronto Metropolitan University?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"No. The admission decision will be based on your academics. 

If you have additional information that you feel should be considered in our review of your application, you may submit the Special Consideration form. This may include circumstances that affected your grades."
Faculty of Engineering & Architectural Science,Engineering,Engineering,What are the admission requirements for out-of-province students for engineering program at Toronto Metropolitan University?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"If you are a Canadian secondary school student (outside of Ontario) applying to TMU, please select your province or territory to determine what’s required for your application."
Faculty of Engineering & Architectural Science,Engineering,Engineering,What are the admission requirements for international high school students?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"Whether you’re a Canadian studying abroad or you’re an international student joining us on a study permit, you’ll find the relevant country or educational system requirements here."
Faculty of Engineering & Architectural Science,Engineering,Engineering,I have a low grade in one of the required subjects. Can I repeat or upgrade a course?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"Yes, you can repeat a course to upgrade your mark and you won’t be penalized. 

Keep in mind that all courses required for admission (including completion of the OSSD) must be completed by June 30 of the year you are applying, unless otherwise approved in writing by the Office of Undergraduate Admissions. If you find you need to complete a course beyond the June deadline, then you must apply for a summer school extension in May. Not all programs grant extensions nor are extensions guaranteed. All requests are subject to space availability and competition."
Faculty of Engineering & Architectural Science,Engineering,Engineering,How do I apply for transfer credits for engineering?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,You can apply online for transfer credits using two different methods depending on where you completed your previous studies. For step by step instructions visit How to Apply for Transfer Credits.
Faculty of Engineering & Architectural Science,Engineering,Engineering,I'm currently enrolled in or have completed a college diploma in engineering. How many credits will transfer?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"If you are approved into an engineering program, you are eligible for core engineering course transfer credit only if your post-secondary education was completed in a program accredited by the Canadian Engineering Accreditation Board (CEAB). Refer to Engineers Canada for a list of CEAB-accredited programs."
Faculty of Engineering & Architectural Science,Engineering,Engineering,Who can I contact with questions?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804187445-engineering,"We’re ready to help make the application process seamless. Contact an engineering admissions officer to learn about admissions requirements, degree options, transfer credits, and more. They'll guide you every step of the way.

Schedule a one-on-one virtual meeting
Email: askeng@torontomu.ca
Phone: 416-542-5870"
